1,3,82.637419,100.181322,0.000000,52.197271,137.011551,73.877376
1,4,82.667964,101.759256,0.000000,52.220621,137.043936,80.393431
1,9,83.658873,105.936417,0.000000,53.218726,137.011547,93.810737
1,8,82.654528,106.932958,0.000000,52.213152,137.017079,102.236468
1,1,82.640023,122.627206,0.000000,52.199876,137.011547,168.386028
1,7,82.650587,122.637770,0.000000,52.210439,137.011551,168.386028
1,2,83.642905,124.191784,0.000000,53.199088,137.028067,170.751328
1,6,83.647439,163.615220,0.000000,53.200689,137.041264,336.744325
1,0,83.671487,163.635227,0.000000,53.219987,137.062645,336.727311
1,5,82.655597,242.604013,0.000000,52.214373,137.016395,673.542779
